node,x_m,y_m
0,10,10
1,20,20
2,94,89
3,272,261
4,452,459
5,695,697
6,1058,1057
7,38,36
8,48,55
9,62,67
10,83,78
11,108,88
12,118,110
13,137,128
14,162,152
15,183,168
16,196,178
17,209,192
18,222,204
19,243,228
20,259,253
21,277,266
22,295,287
23,317,305
24,338,329
25,358,351
26,374,372
27,396,390
28,407,413
29,431,425
30,449,447
31,466,470
32,476,492
33,489,506
34,505,529
35,524,541
36,545,562
37,555,582
38,571,598
39,595,612
40,610,622
41,632,638
42,643,663
43,668,679
44,690,695
45,701,707
46,716,717
47,736,730
48,761,751
49,783,769
50,794,787
51,816,801
52,833,811
53,855,834
54,880,858
55,894,883
56,905,899
57,920,912
58,944,929
59,961,954
60,985,972
61,1009,982
62,1020,1006
63,1036,1026
64,1050,1044
65,1070,1068
66,1095,1088
67,1113,1113
68,1123,1136
69,1142,1151
70,1152,1170
71,1169,1182
72,1182,1193
73,1195,1209
74,1209,1232
DSO,0,0
Market,0,0
