i,j,name_i,name_j,distance_m,rssi_dbm,per,adjacent
0,1,611,632,636.441,-104.432,0.8,0
0,2,611,633,695.719,-128.412,1,0
0,3,611,634,696.201,-117.344,1,0
0,4,611,645,610.362,-124.69,1,0
0,5,611,646,612.64,-87.4249,0,1
0,6,611,650,1233.83,-98.6263,0,1
0,7,611,652,260.421,-92.083,0,1
0,8,611,670,445.561,-124.616,1,0
0,9,611,671,182.88,-82.7898,0,1
0,10,611,675,336.28,-91.6538,0,1
0,11,611,680,355.455,-86.3854,0,1
0,12,611,684,91.44,-86.7622,0,1
0,13,611,692,183.88,-84.4173,0,1
0,14,611,660,1232.84,-109.011,1,0
0,15,611,0,1234.82,-107.331,1,0
0,16,611,DSO,1234.82,-120.298,1,0
0,17,611,Market,1234.82,-109.379,1,0
1,2,632,633,152.4,-112.757,1,0
1,3,632,634,153.4,-96.9454,0,1
1,4,632,645,152.4,-109.188,1,0
1,5,632,646,243.84,-96.1861,0,1
1,6,632,650,610.6,-99.9223,0.0015,1
1,7,632,652,858.325,-117.758,1,0
1,8,632,670,203.3,-98.8209,0,1
1,9,632,671,609.6,-95.5552,0,1
1,10,632,675,628.605,-105.382,1,0
1,11,632,680,914.4,-126.024,1,0
1,12,632,684,616.42,-96.6568,0,1
1,13,632,692,609.601,-88.4726,0,1
1,14,632,660,609.6,-108.754,1,0
1,15,632,0,611.6,-114.224,1,0
1,16,632,DSO,611.6,-123.964,1,0
1,17,632,Market,611.6,-104.098,0.4,1
2,3,633,634,1,-49.9644,0,1
2,4,633,645,304.8,-103.704,0.4,1
2,5,633,646,396.24,-100.863,0.006,1
2,6,633,650,629.331,-93.2693,0,1
2,7,633,652,887.591,-128.206,1,0
2,8,633,670,254.08,-87.6997,0,1
2,9,633,671,628.361,-118.776,1,0
2,10,633,675,609.601,-119.407,1,0
2,11,633,680,927.013,-119.657,1,0
2,12,633,684,656.559,-126.752,1,0
2,13,633,692,628.12,-119.747,1,0
2,14,633,660,628.361,-100.177,0.0015,1
2,15,633,0,630.302,-91.3792,0,1
2,16,633,DSO,630.302,-115.36,1,0
2,17,633,Market,630.302,-108.393,1,0
3,4,634,645,305.8,-116.441,1,0
3,5,634,646,397.24,-118.258,1,0
3,6,634,650,629.574,-123.441,1,0
3,7,634,652,887.866,-123.809,1,0
3,8,634,670,254.681,-83.1979,0,1
3,9,634,671,628.605,-120.828,1,0
3,10,634,675,609.6,-88.9393,0,1
3,11,634,680,927.178,-101.941,0.03,1
3,12,634,684,656.931,-94.8198,0,1
3,13,634,692,628.361,-90.0101,0,1
3,14,634,660,628.605,-122.769,1,0
3,15,634,0,630.544,-114.492,1,0
3,16,634,DSO,630.544,-91.6044,0,1
3,17,634,Market,630.544,-111.393,1,0
4,5,645,646,91.44,-87.7432,0,1
4,6,645,650,629.331,-114.52,1,0
4,7,645,652,855.614,-128.637,1,0
4,8,645,670,254.08,-96.2471,0,1
4,9,645,671,628.361,-108.967,1,0
4,10,645,675,682.001,-96.2539,0,1
4,11,645,680,927.013,-118.693,1,0
4,12,645,684,612.64,-99.0055,0,1
4,13,645,692,628.605,-100.264,0.0015,1
4,14,645,660,628.361,-93.3252,0,1
4,15,645,0,630.302,-115.127,1,0
4,16,645,DSO,630.302,-119,1,0
4,17,645,Market,630.302,-121.052,1,0
5,6,646,650,657.488,-104.536,0.8,0
5,7,646,652,866.94,-91.1675,0,1
5,8,646,670,317.473,-83.0772,0,1
5,9,646,671,656.559,-118.027,1,0
5,10,646,675,727.607,-113.875,1,0
5,11,646,680,946.354,-130.752,1,0
5,12,646,684,628.361,-114.066,1,0
5,13,646,692,656.931,-117.953,1,0
5,14,646,660,656.559,-99.9615,0.0015,1
5,15,646,0,658.417,-99.264,0,1
5,16,646,DSO,658.417,-105.892,1,0
5,17,646,Market,658.417,-119.617,1,0
6,7,650,652,1466.89,-103.889,0.4,1
6,8,650,670,813.9,-94.0167,0,1
6,9,650,671,1220.2,-96.3394,0,1
6,10,650,675,1229.8,-111.389,1,0
6,11,650,680,1525,-114.111,1,0
6,12,650,684,1223.62,-129.773,1,0
6,13,650,692,1220.2,-97.2517,0,1
6,14,650,660,1,-43.4208,0,1
6,15,650,0,1,-67.811,0,1
6,16,650,DSO,1,-43.1872,0,1
6,17,650,Market,1,-36.4558,0,1
7,8,652,670,656.539,-93.2226,0,1
7,9,652,671,260.421,-100.982,0.006,1
7,10,652,675,345.55,-83.2211,0,1
7,11,652,680,109.897,-75.8409,0,1
7,12,652,684,243.84,-106.572,1,0
7,13,652,692,260.774,-116.676,1,0
7,14,652,660,1465.89,-103.463,0.4,1
7,15,652,0,1467.89,-131.428,1,0
7,16,652,DSO,1467.89,-105.632,1,0
7,17,652,Market,1467.89,-106.967,1,0
8,9,670,671,406.3,-103.516,0.4,1
8,10,670,675,434.294,-107.807,1,0
8,11,670,680,711.1,-90.8493,0,1
8,12,670,684,416.462,-106.704,1,0
8,13,670,692,406.301,-106.818,1,0
8,14,670,660,812.9,-114.434,1,0
8,15,670,0,814.9,-95.7674,0,1
8,16,670,DSO,814.9,-128.16,1,0
8,17,670,Market,814.9,-113.471,1,0
9,10,671,675,153.4,-85.8319,0,1
9,11,671,680,304.8,-109.347,1,0
9,12,671,684,91.44,-80.1395,0,1
9,13,671,692,1,-35.7696,0,1
9,14,671,660,1219.2,-114.736,1,0
9,15,671,0,1221.2,-109.974,1,0
9,16,671,DSO,1221.2,-131.409,1,0
9,17,671,Market,1221.2,-121.188,1,0
10,11,675,680,341.225,-102.059,0.03,1
10,12,675,684,244.84,-96.021,0,1
10,13,675,692,152.4,-96.9599,0,1
10,14,675,660,1228.81,-95.4641,0,1
10,15,675,0,1230.8,-124.099,1,0
10,16,675,DSO,1230.8,-114.916,1,0
10,17,675,Market,1230.8,-95.2938,0,1
11,12,680,684,318.221,-108.283,1,0
