node,x_m,y_m
0,0.00,0.00
1,600.00,0.00
2,1400.00,0.00
3,2400.00,0.00
4,3600.00,0.00
5,600.00,-10.00
6,645.00,-10.00
7,690.00,-10.00
8,735.00,-10.00
9,645.00,-55.00
10,690.00,35.00
11,735.00,-55.00
12,1402.69,-9.63
13,1457.69,-9.63
14,1512.69,-9.63
15,1567.69,-9.63
16,1622.69,-9.63
17,1677.69,-9.63
18,1512.69,-64.63
19,1512.69,-119.63
20,1622.69,45.37
21,1622.69,100.37
22,2401.19,-9.93
23,2461.19,-9.93
24,2521.19,-9.93
25,2581.19,-9.93
26,2641.19,-9.93
27,2701.19,-9.93
28,2761.19,-9.93
29,2581.19,-69.93
30,2581.19,-129.93
31,2641.19,-69.93
32,2701.19,50.07
33,2701.19,110.07
34,3600.42,-9.99
35,3675.42,-9.99
36,3750.42,-9.99
37,3825.42,-9.99
38,3900.42,-9.99
39,3975.42,-9.99
40,4050.42,-9.99
41,4125.42,-9.99
42,4200.42,-9.99
43,3900.42,-84.99
44,3900.42,-159.99
45,4125.42,65.01
46,4125.42,140.01
DSO,0.00,0.00
Market,0.00,0.00
