i,j,name_i,name_j,distance_m,rssi_dbm,per,adjacent
0,1,0,1,600,-103.92,0.4,1
0,2,0,2,1400,-134.486,1,0
0,3,0,3,2400,-128.093,1,0
0,4,0,4,3600,-140.105,1,0
0,5,0,5,600.083,-87.245,0,1
0,6,0,6,645.078,-92.9934,0,1
0,7,0,7,690.072,-100.547,0.006,1
0,8,0,8,735.068,-128.964,1,0
0,9,0,9,647.341,-93.7691,0,1
0,10,0,10,690.887,-97.9079,0,1
0,11,0,11,737.055,-92.7197,0,1
0,12,0,12,1402.72,-110.479,1,0
0,13,0,13,1457.72,-102.4,0.15,1
0,14,0,14,1512.72,-110.788,1,0
0,15,0,15,1567.72,-109.404,1,0
0,16,0,16,1622.72,-122.671,1,0
0,17,0,17,1677.72,-112.041,1,0
0,18,0,18,1514.07,-132.701,1,0
0,19,0,19,1517.41,-116.851,1,0
0,20,0,20,1623.32,-129.737,1,0
0,21,0,21,1625.79,-112.665,1,0
0,22,0,22,2401.21,-111.816,1,0
0,23,0,23,2461.21,-126.908,1,0
0,24,0,24,2521.21,-120.69,1,0
0,25,0,25,2581.21,-108.091,1,0
0,26,0,26,2641.21,-117.85,1,0
0,27,0,27,2701.21,-135.432,1,0
0,28,0,28,2761.21,-109.681,1,0
0,29,0,29,2582.14,-101.011,0.006,1
0,30,0,30,2584.46,-121.3,1,0
0,31,0,31,2642.12,-126.934,1,0
0,32,0,32,2701.65,-136.867,1,0
0,33,0,33,2703.43,-117.007,1,0
0,34,0,34,3600.43,-121.091,1,0
0,35,0,35,3675.43,-125.33,1,0
0,36,0,36,3750.43,-120.386,1,0
0,37,0,37,3825.43,-108.945,1,0
0,38,0,38,3900.43,-141.064,1,0
0,39,0,39,3975.43,-111.588,1,0
0,40,0,40,4050.43,-134.962,1,0
0,41,0,41,4125.43,-136.015,1,0
0,42,0,42,4200.43,-132.781,1,0
0,43,0,43,3901.35,-142.231,1,0
0,44,0,44,3903.7,-135.616,1,0
0,45,0,45,4125.93,-116.524,1,0
0,46,0,46,4127.8,-107.703,1,0
0,47,0,DSO,0,0,0,1
0,48,0,Market,0,0,0,1
1,2,1,2,800,-117.431,1,0
1,3,1,3,1800,-117.508,1,0
1,4,1,4,3000,-136.274,1,0
1,5,1,5,10,-86.277,0,1
1,6,1,6,46.0977,-100.734,0.006,1
1,7,1,7,90.5539,-103.98,0.4,1
1,8,1,8,135.37,-77.7084,0,1
1,9,1,9,71.0634,-101.893,0.03,1
1,10,1,10,96.566,-72.9349,0,1
1,11,1,11,145.774,-85.8718,0,1
1,12,1,12,802.748,-96.561,0,1
1,13,1,13,857.744,-92.7131,0,1
