wall_time,t,ciclo,sender,receiver,performative,bytes,delay_s,dropped
1788504436.110790,,,concentrator_alimentador_650,dso,subscribe,100,0.668031,0
1788504436.112555,,,prosumer611,concentrator_alimentador_650,subscribe,100,5.152109,0
1788504436.113822,,,prosumer632,concentrator_alimentador_650,subscribe,100,5.966313,0
1788504436.114956,,,prosumer634,concentrator_alimentador_650,subscribe,100,6.088192,0
1788504436.115598,,,prosumer645,concentrator_alimentador_650,subscribe,100,4.443357,0
1788504436.116069,,,prosumer646,concentrator_alimentador_650,subscribe,100,1.090509,0
1788504436.116719,,,prosumer652,concentrator_alimentador_650,subscribe,100,5.348869,0
1788504436.117593,,,prosumer670,concentrator_alimentador_650,subscribe,100,3.897954,0
1788504436.118157,,,prosumer671,concentrator_alimentador_650,subscribe,100,5.191954,0
1788504436.118587,,,prosumer675,concentrator_alimentador_650,subscribe,100,4.299510,0
1788504436.118967,,,prosumer692,concentrator_alimentador_650,subscribe,100,1.817645,0
1788504436.120888,,,dso,concentrator_alimentador_650,agree,100,2.336694,0
1788504436.129263,,,concentrator_alimentador_650,prosumer646,agree,100,1.648873,0
1788504436.140244,,,concentrator_alimentador_650,prosumer692,agree,100,0.957589,0
1788504436.159477,,,concentrator_alimentador_650,prosumer670,agree,100,3.649653,0
1788504436.162616,,,concentrator_alimentador_650,prosumer645,agree,100,2.329261,0
1788504436.164487,,,concentrator_alimentador_650,prosumer675,agree,100,3.812911,0
1788504436.166396,,,concentrator_alimentador_650,prosumer611,agree,100,5.708521,0
1788504436.172374,,,concentrator_alimentador_650,prosumer671,agree,100,5.113852,0
1788504436.173496,,,concentrator_alimentador_650,prosumer652,agree,100,2.582293,0
1788504436.175367,,,concentrator_alimentador_650,prosumer632,agree,100,6.546150,0
1788504436.178164,,,concentrator_alimentador_650,prosumer634,agree,100,4.725440,0
1788504437.536913,,ciclo1_AC_AP,concentrator_alimentador_650,prosumer611,cfp,100,4.321714,0
1788504437.538057,,ciclo1_AC_AP,concentrator_alimentador_650,prosumer632,cfp,100,3.081786,0
1788504437.539073,,ciclo1_AC_AP,concentrator_alimentador_650,prosumer634,cfp,100,6.097731,0
1788504437.539759,,ciclo1_AC_AP,concentrator_alimentador_650,prosumer645,cfp,100,6.603579,0
1788504437.540330,,ciclo1_AC_AP,concentrator_alimentador_650,prosumer646,cfp,100,0.502055,0
1788504437.540857,,ciclo1_AC_AP,concentrator_alimentador_650,prosumer652,cfp,100,0.186208,0
1788504437.541288,,ciclo1_AC_AP,concentrator_alimentador_650,prosumer670,cfp,100,0.114358,0
1788504437.541651,,ciclo1_AC_AP,concentrator_alimentador_650,prosumer671,cfp,100,4.469206,0
1788504437.541988,,ciclo1_AC_AP,concentrator_alimentador_650,prosumer675,cfp,100,4.410278,0
1788504437.542285,,ciclo1_AC_AP,concentrator_alimentador_650,prosumer692,cfp,100,3.401805,0
1788504437.677046,,ciclo1_AC_AP,prosumer670,concentrator_alimentador_650,propose,1432,22.721660,0
1788504437.682677,,ciclo1_AC_AP,prosumer652,concentrator_alimentador_650,propose,1197,39.777841,0
1788504437.820554,,ciclo1_AC_AP,prosumer646,concentrator_alimentador_650,propose,1388,23.359112,0
1788504437.833728,,ciclo1_AC_AP,prosumer632,concentrator_alimentador_650,propose,1455,49.816572,0
1788504437.838638,,ciclo1_AC_AP,prosumer692,concentrator_alimentador_650,propose,1215,21.247769,0
1788504437.840888,,ciclo1_AC_AP,prosumer675,concentrator_alimentador_650,propose,1020,36.613295,0
1788504437.843617,,ciclo1_AC_AP,prosumer611,concentrator_alimentador_650,propose,1132,38.115267,0
1788504437.850746,,ciclo1_AC_AP,prosumer671,concentrator_alimentador_650,propose,1494,47.228035,0
1788504437.853573,,ciclo1_AC_AP,prosumer634,concentrator_alimentador_650,propose,1261,42.217616,0
1788504437.854804,,ciclo1_AC_AP,prosumer645,concentrator_alimentador_650,propose,1248,38.812937,0
1788504438.336819,,ciclo2_AD_AC,dso,concentrator_alimentador_650,cfp,100,3.798034,0
1788504438.380565,,ciclo2_AD_AC,concentrator_alimentador_650,dso,propose,1207,20.531337,0
1788504438.594395,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,1.399006,0
1788504438.598360,,ciclo3_AM_AC_AD,market,dso,cfp,100,2.331353,0
1788504438.795948,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1470,22.731166,0
1788504438.897406,,ciclo3_AM_AC_AD,dso,market,propose,1401,23.493589,0
1788504439.139766,,,market,concentrator_alimentador_650,reject-proposal,1424,22.284127,0
1788504439.140738,,,market,dso,reject-proposal,1155,22.114086,0
1788504439.195976,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,2.827531,0
