wall_time,t,ciclo,sender,receiver,performative,bytes,delay_s,dropped
1789091230.610517,,,concentrator_trafo_1_3,dso,subscribe,100,4.410278,0
1789091230.612331,,,concentrator_trafo_2_12,dso,subscribe,100,3.903465,0
1789091230.613805,,,prosumer3,concentrator_trafo_1_3,subscribe,100,1.127902,0
1789091230.615238,,,prosumer4,concentrator_trafo_1_3,subscribe,100,2.366467,0
1789091230.616295,,,prosumer5,concentrator_trafo_1_3,subscribe,100,3.917167,0
1789091230.617005,,,prosumer6,concentrator_trafo_1_3,subscribe,100,2.266562,0
1789091230.617648,,,prosumer7,concentrator_trafo_1_3,subscribe,100,0.075335,0
1789091230.618020,,,prosumer8,concentrator_trafo_1_3,subscribe,100,4.175772,0
1789091230.618336,,,prosumer9,concentrator_trafo_1_3,subscribe,100,3.260705,0
1789091230.618609,,,prosumer10,concentrator_trafo_1_3,subscribe,100,1.566957,0
1789091230.618881,,,prosumer11,concentrator_trafo_1_3,subscribe,100,3.488709,0
1789091230.619158,,,prosumer12,concentrator_trafo_2_12,subscribe,100,3.018371,0
1789091230.619423,,,prosumer13,concentrator_trafo_2_12,subscribe,100,2.247211,0
1789091230.619702,,,prosumer14,concentrator_trafo_2_12,subscribe,100,0.551279,0
1789091230.619980,,,prosumer15,concentrator_trafo_2_12,subscribe,100,0.732295,0
1789091230.620253,,,prosumer16,concentrator_trafo_2_12,subscribe,100,0.179990,0
1789091230.620508,,,prosumer17,concentrator_trafo_2_12,subscribe,100,0.434276,0
1789091230.620766,,,prosumer18,concentrator_trafo_2_12,subscribe,100,0.911866,0
1789091230.621012,,,prosumer19,concentrator_trafo_2_12,subscribe,100,2.880475,0
1789091230.621258,,,prosumer20,concentrator_trafo_2_12,subscribe,100,2.311983,0
1789091230.624128,,,concentrator_trafo_1_3,prosumer7,agree,100,0.290776,0
1789091230.625646,,,concentrator_trafo_2_12,prosumer16,agree,100,3.907796,0
1789091230.627906,,,concentrator_trafo_2_12,prosumer17,agree,100,2.295126,0
1789091230.629044,,,concentrator_trafo_1_3,prosumer3,agree,100,0.821305,0
1789091230.630199,,,concentrator_trafo_2_12,prosumer14,agree,100,1.019396,0
1789091230.633395,,,concentrator_trafo_2_12,prosumer15,agree,100,3.794592,0
1789091230.634615,,,concentrator_trafo_2_12,prosumer18,agree,100,2.348690,0
1789091230.636493,,,concentrator_trafo_1_3,prosumer10,agree,100,3.918881,0
1789091230.642538,,,concentrator_trafo_1_3,prosumer4,agree,100,3.421188,0
1789091230.644285,,,concentrator_trafo_1_3,prosumer6,agree,100,0.968985,0
1789091230.647125,,,concentrator_trafo_2_12,prosumer13,agree,100,1.994830,0
1789091230.648272,,,concentrator_trafo_2_12,prosumer20,agree,100,5.853704,0
1789091230.651182,,,concentrator_trafo_2_12,prosumer12,agree,100,0.633437,0
1789091230.652646,,,concentrator_trafo_2_12,prosumer19,agree,100,0.075048,0
1789091230.654733,,,concentrator_trafo_1_3,prosumer9,agree,100,0.282889,0
1789091230.655628,,,dso,concentrator_trafo_2_12,agree,100,4.414405,0
1789091230.658759,,,concentrator_trafo_1_3,prosumer11,agree,100,2.298160,0
1789091230.660154,,,dso,concentrator_trafo_1_3,agree,100,5.276153,0
1789091230.661026,,,concentrator_trafo_1_3,prosumer5,agree,100,2.342171,0
1789091230.664286,,,concentrator_trafo_1_3,prosumer8,agree,100,3.761601,0
1789091231.978141,,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer3,cfp,100,3.011151,0
1789091231.978787,,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer4,cfp,100,2.703701,0
1789091231.979283,,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer5,cfp,100,1.070275,0
1789091231.979494,,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer6,cfp,100,0.267993,0
1789091231.979910,,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer7,cfp,100,1.495140,0
1789091231.980250,,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer8,cfp,100,3.393162,0
1789091231.980425,,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer9,cfp,100,3.041132,0
1789091231.980606,,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer10,cfp,100,0.268807,0
1789091231.980927,,ciclo1_AC_AP,concentrator_trafo_1_3,prosumer11,cfp,100,1.051673,0
1789091231.981807,,ciclo1_AC_AP,concentrator_trafo_2_12,prosumer12,cfp,100,3.251208,0
