node,t,dlmp_signal,spot_eur_mwh,adder_signal
8,0,49.62118961643037,31.0,18.62118961643037
8,1,41.35030154648631,31.0,10.350301546486307
8,2,40.96456168094628,31.0,9.964561680946282
8,3,41.35659446394277,31.0,10.35659446394277
8,4,32.04633613752267,30.94,1.1063361375226712
8,5,41.0375936580733,30.94,10.097593658073297
8,6,37.88801746052764,30.94,6.948017460527641
8,7,37.45586985595199,30.94,6.515869855951987
8,8,37.313183358338605,31.32,5.993183358338605
8,9,35.76934185171011,31.32,4.449341851710109
8,10,38.94585834030016,31.32,7.625858340300162
8,11,35.40455357374535,31.32,4.084553573745353
8,12,37.858377250955556,29.03,8.828377250955555
8,13,35.71338957496797,29.03,6.683389574967968
8,14,30.129527844049676,29.03,1.0995278440496747
8,15,34.54818828703894,29.03,5.518188287038939
8,16,29.224081692293804,28.2,1.0240816922938052
8,17,29.226231765864558,28.2,1.0262317658645586
8,18,29.228854337578134,28.2,1.0288543375781352
8,19,29.232137191259934,28.2,1.0321371912599346
8,20,44.78640079225371,43.75,1.0364007922537084
8,21,44.78640142578877,43.75,1.0364014257887675
8,22,44.78640205085357,43.75,1.0364020508535674
8,23,44.78640219880945,43.75,1.0364021988094478
8,24,52.86384104965283,51.79,1.0738410496528275
8,25,52.86384140562248,51.79,1.0738414056224812
8,26,52.86384147848219,51.79,1.0738414784821941
8,27,52.86384150160043,51.79,1.073841501600434
8,28,53.47384152289773,52.4,1.0738415228977303
8,29,53.473841537219606,52.4,1.0738415372196073
8,30,53.473841589779965,52.4,1.073841589779967
8,31,53.471938725973175,52.4,1.071938725973176
8,32,50.49384155372934,49.42,1.0738415537293378
8,33,50.49384156885271,49.42,1.073841568852707
8,34,51.026521754559155,49.42,1.6065217545591537
8,35,50.49384163209705,49.42,1.07384163209705
8,36,50.45384164909892,49.38,1.0738416490989167
8,37,50.453841567630754,49.38,1.0738415676307511
8,38,50.453841570461286,49.38,1.0738415704612834
8,39,50.45384156721455,49.38,1.0738415672145507
8,40,47.45384156898487,46.38,1.073841568984868
