no,v_max_pu,hora_max,v_min_pu,hora_min
53,1.01092,10:00,0.97033,16:30
51,1.01261,10:00,0.97052,16:30
26,1.02282,11:00,0.97068,15:45
52,1.01136,10:00,0.97075,15:00
25,1.02225,11:00,0.97077,15:45
54,1.01369,10:00,0.97083,15:00
74,1.01411,10:00,0.97084,16:30
72,1.01417,10:00,0.97085,16:30
73,1.01412,10:00,0.97085,16:30
50,1.01275,10:00,0.97107,16:30
49,1.01225,10:00,0.97108,23:30
71,1.01378,10:00,0.9713,16:30
24,1.02207,11:00,0.97141,15:45
48,1.01284,10:00,0.97174,23:30
70,1.0133,10:00,0.97212,16:30
23,1.0206,11:00,0.97221,15:45
69,1.01311,10:00,0.97239,16:30
21,1.01507,11:00,0.97331,19:30
68,1.01236,10:00,0.97372,16:30
47,1.01105,10:00,0.97383,23:30
22,1.01763,11:00,0.97384,15:45
20,1.01467,11:00,0.97491,19:30
19,1.01472,11:00,0.97494,19:30
67,1.01162,10:00,0.97497,16:30
66,1.01057,10:00,0.97633,16:30
46,1.00932,10:00,0.97649,23:30
33,1.01934,10:30,0.97661,23:30
45,1.00893,10:00,0.97675,23:30
44,1.00946,10:00,0.97679,23:30
65,1.0096,10:00,0.9772,15:45
32,1.01934,10:30,0.97759,23:30
64,1.0096,10:00,0.97822,16:30
18,1.01174,11:00,0.97825,19:30
31,1.01782,10:30,0.97963,23:30
43,1.00883,10:00,0.97977,19:30
42,1.00818,10:00,0.98019,23:30
63,1.00811,10:00,0.98239,15:45
30,1.01559,10:30,0.9826,23:30
29,1.01493,10:30,0.98287,23:30
17,1.00853,11:00,0.98299,19:30
41,1.00632,10:00,0.98398,19:30
62,1.00831,10:00,0.98675,15:45
34,1.01091,10:30,0.98685,23:30
28,1.01109,10:30,0.98725,23:30
61,1.00684,10:00,0.98739,17:45
40,1.00485,10:00,0.98778,19:30
16,1.00543,11:00,0.988,19:30
12,1.00043,10:30,0.98811,23:30
13,1.00108,10:30,0.98812,23:30
14,1.00127,10:30,0.98839,23:30
10,0.99997,10:30,0.98841,23:30
11,1.00071,10:30,0.98846,23:30
9,1.0,10:30,0.98955,23:30
38,1.00701,10:00,0.98956,21:00
39,1.00529,10:00,0.98983,19:30
59,1.00572,10:00,0.99019,17:45
58,1.00571,10:00,0.99032,17:45
37,1.0055,10:00,0.99055,19:30
57,1.00507,10:00,0.99064,17:45
8,1.00016,10:30,0.991,23:30
36,1.00455,10:00,0.99117,15:45
35,1.0035,10:00,0.99196,19:30
56,1.00493,10:00,0.99204,15:45
55,1.0034,10:00,0.99273,17:45
60,1.0034,10:00,0.99277,17:45
27,1.00579,10:30,0.99297,23:30
15,1.00255,10:00,0.99302,19:30
7,0.99997,10:00,0.99663,23:30
4,1.00047,10:00,0.9992,23:30
6,1.00045,10:00,0.99922,23:30
5,1.00044,10:00,0.99924,23:30
3,1.00043,10:00,0.99925,23:30
2,1.00041,10:00,0.99929,23:30
1,1.0002,10:00,0.99965,23:30
0,1.0,10:00,1.0,19:30
