node,hora_max,p_max_kw,hora_min,p_min_kw
7,17:45,3.4,,
8,02:45,2.22,15:00,-1.91
9,15:00,2.5,,
10,02:45,2.23,15:00,-1.91
11,14:30,4.93,17:45,-0.24
12,08:15,3.6,,
13,15:00,2.42,10:45,-1.78
14,15:45,1.88,10:00,-1.65
15,15:00,2.72,10:45,-1.77
16,02:45,2.24,17:45,-0.02
17,15:00,2.2,,
18,19:30,2.8,13:15,-1.21
19,08:15,2.8,,
20,17:45,2.25,11:15,-1.78
21,15:00,3.5,09:45,-1.75
22,15:15,4.27,11:30,-1.06
23,22:00,2.92,16:30,-0.01
24,19:30,3.82,09:00,-3.49
25,19:30,3.62,12:00,-3.58
26,19:30,1.01,12:00,-1.73
27,10:45,2.0,,
28,16:30,3.61,11:15,-3.84
29,08:15,2.16,11:00,-1.42
30,19:30,1.11,12:00,-1.67
31,00:30,2.34,10:30,-3.02
32,15:00,2.68,09:00,-3.54
33,00:30,2.09,10:45,-1.91
34,12:45,3.2,,
35,17:00,4.31,13:15,-3.46
36,10:45,2.75,10:15,-3.56
37,19:30,1.57,12:00,-1.6
38,14:45,2.62,11:00,-3.64
39,10:45,3.3,,
40,15:45,2.0,,
41,15:00,2.1,,
42,03:00,2.16,17:45,-1.43
43,17:45,3.1,12:15,-1.83
44,17:45,1.96,09:00,-1.89
45,13:15,2.3,,
46,12:45,2.1,,
47,08:15,3.0,,
48,15:45,3.04,09:45,-3.84
49,15:45,3.1,,
50,17:45,1.96,11:15,-1.84
51,10:45,2.0,,
52,15:45,3.08,10:00,-1.48
53,15:00,2.0,,
54,17:45,3.2,14:00,-3.78
55,17:45,2.0,,
56,15:45,2.98,10:00,-3.65
57,14:30,2.87,09:00,-0.26
58,08:15,2.46,11:00,-1.36
59,17:45,3.0,12:15,-1.83
60,00:30,2.23,17:45,-2.38
61,15:00,1.42,12:00,-1.86
62,17:30,2.77,17:45,-7.12
63,17:45,3.2,,
64,17:45,3.78,12:15,-1.73
65,02:45,2.22,,
66,17:45,2.98,,
67,17:45,3.1,12:15,-1.83
68,02:45,2.3,17:45,-1.48
69,12:15,2.63,,
70,17:45,2.28,12:15,-1.82
71,16:15,0.82,17:45,-2.98
72,15:00,2.4,09:45,-1.82
73,08:15,2.16,11:00,-1.42
74,02:45,2.16,10:45,-1.72
