i,j,name_i,name_j,distance_m,rssi_dbm,per,adjacent
0,1,0,1,14.1421,-71.3674,0,1
0,2,0,2,115.313,-101.727,0.03,1
0,3,0,3,362.829,-82.8748,0,1
0,4,0,4,630.052,-92.7887,0,1
0,5,0,5,970.152,-103.506,0.4,1
0,6,0,6,1481.39,-100.96,0.006,1
0,7,0,7,38.2099,-72.7633,0,0
0,8,0,8,58.8982,-70.7718,0,0
0,9,0,9,77.1557,-85.2868,0,0
0,10,0,10,99.7647,-79.1062,0,0
0,11,0,11,125.252,-89.1483,0,0
0,12,0,12,147.187,-88.856,0,0
0,13,0,13,173.358,-103.245,0.15,0
0,14,0,14,208.01,-93.9086,0,0
0,15,0,15,234.293,-116.493,1,0
0,16,0,16,250.639,-101.21,0.006,0
0,17,0,17,269.676,-114.145,1,0
0,18,0,18,287.367,-97.6127,0,0
0,19,0,19,319.081,-94.2852,0,0
0,20,0,20,347.922,-109.915,1,0
0,21,0,21,369.899,-104.02,0.4,0
0,22,0,22,397.434,-91.8396,0,0
0,23,0,23,425.763,-101.998,0.03,0
0,24,0,24,457.542,-120.01,1,0
0,25,0,25,487.222,-94.6138,0,0
0,26,0,26,513.361,-86.9802,0,0
0,27,0,27,541.66,-107.727,1,0
0,28,0,28,565.701,-113.547,1,0
0,29,0,29,591.156,-123.669,1,0
0,30,0,30,619.427,-104.208,0.4,0
0,31,0,31,647.716,-106.192,1,0
0,32,0,32,670.433,-110.551,1,0
0,33,0,33,689.534,-105.675,1,0
0,34,0,34,717.207,-94.4046,0,0
0,35,0,35,739.024,-126.614,1,0
0,36,0,36,768.719,-97.3156,0,0
0,37,0,37,790.069,-120.765,1,0
0,38,0,38,812.69,-121.904,1,0
0,39,0,39,839.422,-118.795,1,0
0,40,0,40,857.055,-129.067,1,0
0,41,0,41,883.894,-122.715,1,0
0,42,0,42,909.449,-103.389,0.4,0
0,43,0,43,938.363,-94.8357,0,0
0,44,0,44,965.207,-119.062,1,0
0,45,0,45,981.473,-112.24,1,0
0,46,0,46,999.142,-126.724,1,0
0,47,0,47,1022.49,-126.47,1,0
0,48,0,48,1055.03,-127.926,1,0
0,49,0,49,1083.33,-125.537,1,0
0,50,0,50,1103.8,-95.9358,0,0
0,51,0,51,1129.3,-125.917,1,0
0,52,0,52,1148.45,-94.4406,0,0
0,53,0,53,1180.25,-104.038,0.4,0
0,54,0,54,1214.91,-100.16,0.0015,0
0,55,0,55,1242.41,-95.9312,0,0
0,56,0,56,1261.49,-128.82,1,0
0,57,0,57,1281.29,-120.65,1,0
0,58,0,58,1310.31,-97.9576,0,0
0,59,0,59,1339.98,-117.941,1,0
0,60,0,60,1369.7,-111.253,1,0
0,61,0,61,1393.84,-121.427,1,0
0,62,0,62,1418.49,-133.028,1,0
0,63,0,63,1443.93,-111.339,1,0
0,64,0,64,1466.55,-116.329,1,0
0,65,0,65,1497.65,-103.086,0.15,0
0,66,0,66,1529.48,-123.042,1,0
0,67,0,67,1559.88,-107.123,1,0
0,68,0,68,1583.24,-108.288,1,0
0,69,0,69,1607.27,-101.483,0.03,0
0,70,0,70,1627.81,-123.368,1,0
0,71,0,71,1648.29,-127.349,1,0
0,72,0,72,1665.25,-129.491,1,0
0,73,0,73,1685.77,-112.714,1,0
0,74,0,74,1711.98,-97.0777,0,0
0,75,0,DSO,14.1421,-56.0534,0,1
0,76,0,Market,14.1421,-84.6923,0,1
1,2,1,2,101.178,-96.7391,0,0
1,3,1,3,348.69,-122.079,1,0
1,4,1,4,615.91,-113.892,1,0
1,5,1,5,956.009,-121.212,1,0
1,6,1,6,1467.25,-106.946,1,0
1,7,1,7,24.0832,-70.5282,0,0
1,8,1,8,44.8219,-82.5514,0,0
1,9,1,9,63.0317,-99.2386,0,0
1,10,1,10,85.6329,-79.214,0,0
1,11,1,11,111.212,-76.7282,0,0
1,12,1,12,133.056,-77.0915,0,0
1,13,1,13,159.226,-93.6322,0,0
1,14,1,14,193.876,-96.1962,0,0
1,15,1,15,220.166,-114.875,1,0
1,16,1,16,236.516,-83.0003,0,0
1,17,1,17,255.548,-91.5702,0,0
1,18,1,18,273.24,-116.542,1,0
1,19,1,19,304.948,-92.8717,0,0
1,20,1,20,333.781,-86.9251,0,0
1,21,1,21,355.76,-87.9005,0,0
1,22,1,22,383.294,-104.339,0.4,0
1,23,1,23,411.624,-84.7409,0,0
1,24,1,24,443.402,-87.9571,0,0
1,25,1,25,473.08,-112.328,1,0
1,26,1,26,499.219,-122.316,1,0
1,27,1,27,527.519,-94.5861,0,0
1,28,1,28,551.56,-122.926,1,0
1,29,1,29,577.015,-97.5218,0,0
